iter	Passed	Remaining
0	59	59092
1	59	29718
2	59	19924
3	60	15023
4	60	12079
5	61	10111
6	61	8707
7	61	7653
8	62	6834
9	62	6181
10	62	5643
11	63	5197
12	63	4817
13	63	4490
14	64	4208
15	64	3960
16	64	3742
17	65	3548
18	65	3376
19	65	3219
20	66	3077
21	66	2948
22	66	2831
23	66	2723
24	67	2625
25	67	2533
26	67	2449
27	68	2370
28	68	2296
29	68	2228
30	69	2163
31	69	2103
32	69	2046
33	70	1993
34	70	1944
35	70	1896
36	71	1850
37	71	1807
38	71	1766
39	71	1727
40	72	1691
41	72	1655
42	72	1621
43	73	1589
44	73	1558
45	73	1530
46	74	1502
47	74	1475
48	74	1449
49	75	1425
50	75	1401
51	75	1378
52	75	1356
53	76	1334
54	76	1315
55	76	1295
56	77	1276
57	77	1258
58	77	1240
59	78	1222
60	78	1205
61	78	1189
62	78	1173
63	79	1158
64	79	1143
65	79	1129
66	80	1115
67	80	1099
68	80	1085
69	80	1072
70	81	1060
71	81	1048
72	81	1036
73	81	1024
74	82	1013
75	82	1002
76	82	991
77	83	981
78	83	971
79	83	961
80	83	952
81	84	942
82	84	933
83	84	924
84	84	913
85	85	905
86	85	896
87	85	888
88	85	880
89	86	871
90	86	864
91	86	857
92	87	850
93	87	842
94	87	835
95	88	828
96	88	821
97	88	815
98	88	808
99	89	802
100	89	796
101	89	788
102	89	782
103	90	777
104	90	770
105	90	765
106	91	759
107	91	753
108	91	748
109	91	743
110	92	738
111	92	732
112	92	727
113	92	722
114	93	717
115	93	712
116	93	707
117	93	702
118	94	697
119	94	692
120	94	687
121	94	683
122	95	677
123	95	673
124	95	669
125	95	664
126	96	660
127	96	655
128	96	651
129	96	647
130	96	643
131	97	639
132	97	635
133	97	631
134	97	627
135	98	624
136	98	620
137	98	616
138	99	613
139	99	609
140	99	606
141	99	603
142	100	600
143	100	596
144	100	593
145	101	591
146	101	588
147	101	584
148	101	581
149	102	578
150	102	575
151	102	572
152	102	569
153	103	566
154	103	563
155	103	561
156	103	558
157	104	555
158	104	553
159	104	550
160	105	547
161	105	544
162	105	542
163	105	539
164	106	537
165	106	534
166	106	532
167	106	529
168	107	527
169	107	525
170	107	523
171	108	520
172	108	518
173	108	516
174	109	514
175	109	511
176	109	509
177	109	507
178	110	505
179	110	502
180	110	499
181	110	497
182	111	495
183	111	493
184	111	491
185	111	489
186	112	487
187	112	485
188	112	483
189	112	481
190	113	479
191	113	477
192	113	475
193	114	474
194	114	472
195	114	470
196	115	469
197	115	467
198	115	465
199	115	463
200	116	462
201	116	460
202	116	459
203	117	457
204	117	455
205	117	453
206	118	452
207	118	450
208	118	448
209	118	447
210	119	445
211	119	443
212	119	442
213	119	440
214	120	439
215	120	437
216	120	435
217	121	434
218	121	433
219	121	431
220	121	429
221	122	428
222	122	426
223	122	425
224	123	424
225	123	422
226	123	421
227	123	419
228	124	418
229	124	416
230	124	415
231	125	414
232	125	412
233	125	411
234	125	410
235	126	408
236	126	407
237	126	405
238	127	404
239	127	403
240	127	401
241	127	400
242	128	399
243	128	397
244	128	396
245	128	395
246	129	393
247	129	392
248	129	391
249	130	390
250	130	388
251	130	387
252	130	386
253	131	385
254	131	383
255	131	382
256	131	381
257	132	380
258	132	378
259	132	377
260	132	376
261	133	375
262	133	374
263	133	372
264	134	371
265	134	370
266	134	369
267	134	368
268	135	367
269	135	366
270	135	365
271	135	363
272	136	362
273	136	361
274	136	360
275	137	359
276	137	358
277	137	357
278	137	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	139	349
286	140	348
287	140	347
288	141	346
289	141	345
290	141	344
291	141	343
292	142	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	337
298	143	336
299	143	335
300	144	334
301	144	334
302	144	333
303	145	332
304	145	331
305	145	330
306	145	329
307	146	328
308	146	327
309	146	326
310	147	326
311	147	325
312	147	324
313	148	323
314	148	322
315	148	321
316	148	320
317	149	319
318	149	318
319	149	318
320	150	317
321	150	316
322	150	315
323	150	314
324	151	313
325	151	312
326	151	311
327	151	311
328	152	310
329	152	309
330	152	308
331	153	307
332	153	306
333	153	306
334	153	305
335	154	304
336	154	303
337	154	302
338	154	302
339	155	301
340	155	300
341	155	299
342	156	298
343	156	298
344	156	297
345	156	296
346	157	295
347	157	295
348	157	294
349	158	293
350	158	292
351	158	291
352	158	291
353	159	290
354	159	289
355	159	288
356	159	288
357	160	287
358	160	286
359	160	285
360	161	285
361	161	284
362	161	283
363	161	282
364	162	282
365	162	281
366	162	281
367	163	280
368	163	279
369	163	278
370	164	278
371	164	277
372	164	276
373	165	276
374	165	275
375	165	274
376	165	274
377	166	273
378	166	272
379	166	272
380	167	271
381	167	270
382	167	269
383	167	269
384	168	268
385	168	267
386	168	267
387	168	266
388	169	265
389	169	264
390	169	264
391	169	263
392	170	262
393	170	262
394	170	261
395	171	260
396	171	260
397	171	259
398	172	259
399	172	258
400	172	257
401	172	257
402	173	256
403	173	255
404	173	255
405	174	254
406	174	253
407	174	253
408	174	252
409	175	251
410	175	251
411	175	250
412	175	250
413	176	249
414	176	248
415	176	248
416	177	247
417	177	246
418	177	246
419	177	245
420	178	244
421	178	244
422	178	243
423	178	243
424	179	242
425	179	241
426	179	241
427	179	240
428	180	239
429	180	239
430	180	238
431	181	238
432	181	237
433	181	236
434	181	236
435	182	235
436	182	235
437	182	234
438	182	233
439	183	233
440	183	232
441	183	232
442	184	231
443	184	230
444	184	230
445	184	229
446	185	229
447	185	228
